employee_id,date,check_in,check_out,status,overtime_minutes
EMP016,2026-01-05,07:50:00,17:05:00,present,0
EMP017,2026-01-05,08:00:00,17:09:00,present,0
EMP018,2026-01-05,08:06:00,17:04:00,present,0
EMP019,2026-01-05,07:49:00,17:09:00,present,0
EMP020,2026-01-05,07:43:00,17:10:00,present,0
EMP021,2026-01-05,07:43:00,18:12:00,present,67
EMP022,2026-01-05,08:09:00,17:05:00,present,0
EMP023,2026-01-05,09:17:00,17:04:00,late,0
EMP024,2026-01-05,07:44:00,17:03:00,present,0
EMP025,2026-01-05,08:10:00,17:06:00,present,0
EMP026,2026-01-05,07:51:00,17:10:00,present,0
EMP027,2026-01-05,07:36:00,17:08:00,present,0
EMP028,2026-01-05,08:04:00,17:04:00,present,0
EMP029,2026-01-05,07:37:00,20:07:00,present,186
EMP030,2026-01-05,08:04:00,17:08:00,present,0
EMP031,2026-01-05,07:41:00,17:09:00,present,0
EMP032,2026-01-05,07:58:00,17:07:00,present,0
EMP033,2026-01-05,07:58:00,17:10:00,present,0
EMP034,2026-01-05,07:42:00,17:07:00,present,0
EMP035,2026-01-05,07:36:00,19:28:00,present,145
EMP036,2026-01-05,08:10:00,17:03:00,present,0
EMP037,2026-01-05,07:35:00,17:02:00,present,0
EMP038,2026-01-05,08:19:00,17:05:00,late,0
EMP039,2026-01-05,07:46:00,17:02:00,present,0
EMP040,2026-01-05,08:05:00,17:05:00,present,0
EMP041,2026-01-05,07:37:00,17:10:00,present,0
EMP042,2026-01-05,07:38:00,17:06:00,present,0
EMP043,2026-01-05,08:03:00,17:45:00,present,40
EMP044,2026-01-05,08:10:00,17:06:00,present,0
EMP045,2026-01-05,07:41:00,17:01:00,present,0
EMP046,2026-01-05,07:48:00,17:03:00,present,0
EMP047,2026-01-05,07:55:00,17:10:00,present,0
EMP048,2026-01-05,08:05:00,17:41:00,present,40
EMP049,2026-01-05,07:43:00,17:09:00,present,0
EMP050,2026-01-05,08:01:00,17:10:00,present,0
EMP001,2026-01-06,07:38:00,17:09:00,present,0
EMP002,2026-01-06,07:44:00,17:01:00,present,0
EMP003,2026-01-06,08:44:00,17:08:00,late,0
EMP004,2026-01-06,08:10:00,20:52:00,present,228
EMP005,2026-01-06,07:57:00,17:57:00,present,48
EMP006,2026-01-06,07:36:00,20:18:00,present,195
EMP007,2026-01-06,07:54:00,17:09:00,present,0
EMP008,2026-01-06,07:38:00,17:04:00,present,0
EMP009,2026-01-06,08:01:00,17:08:00,present,0
EMP010,2026-01-06,08:06:00,17:04:00,present,0
EMP011,2026-01-06,08:54:00,17:02:00,late,0
EMP012,2026-01-06,09:11:00,17:06:00,late,0
EMP013,2026-01-06,07:57:00,17:41:00,present,35
EMP014,2026-01-06,08:02:00,17:06:00,present,0
EMP015,2026-01-06,07:45:00,17:09:00,present,0
EMP016,2026-01-06,08:02:00,17:03:00,present,0
EMP017,2026-01-06,07:54:00,17:03:00,present,0
EMP018,2026-01-06,09:21:00,17:05:00,late,0
EMP019,2026-01-06,07:44:00,17:02:00,present,0
EMP020,2026-01-06,07:39:00,17:10:00,present,0
EMP021,2026-01-06,07:55:00,17:10:00,present,0
EMP022,2026-01-06,07:54:00,17:09:00,present,0
EMP023,2026-01-06,07:38:00,17:04:00,present,0
EMP024,2026-01-06,08:07:00,17:09:00,present,0
EMP025,2026-01-06,08:03:00,17:09:00,present,0
EMP026,2026-01-06,07:44:00,17:07:00,present,0
EMP027,2026-01-06,07:40:00,17:02:00,present,0
EMP028,2026-01-06,08:08:00,17:02:00,present,0
EMP029,2026-01-06,07:56:00,19:00:00,present,110
EMP030,2026-01-06,07:59:00,17:10:00,present,0
EMP031,2026-01-06,08:34:00,17:04:00,late,0
EMP032,2026-01-06,07:40:00,17:06:00,present,0
EMP033,2026-01-06,08:08:00,19:01:00,present,115
EMP034,2026-01-06,07:48:00,17:07:00,present,0
EMP035,2026-01-06,07:53:00,17:08:00,present,0
EMP036,2026-01-06,07:56:00,17:09:00,present,0
EMP037,2026-01-06,07:45:00,17:00:00,present,0
EMP038,2026-01-06,07:53:00,17:07:00,present,0
EMP039,2026-01-06,08:05:00,17:03:00,present,0
EMP040,2026-01-06,08:04:00,17:06:00,present,0
EMP041,2026-01-06,07:47:00,17:02:00,present,0
EMP042,2026-01-06,07:58:00,17:01:00,present,0
EMP043,2026-01-06,07:40:00,17:04:00,present,0
EMP044,2026-01-06,07:40:00,17:03:00,present,0
EMP045,2026-01-06,08:00:00,17:03:00,present,0
EMP046,2026-01-06,08:28:00,17:10:00,late,0
EMP047,2026-01-06,08:05:00,17:02:00,present,0
EMP048,2026-01-06,07:40:00,17:59:00,present,57
EMP049,2026-01-06,07:42:00,17:03:00,present,0
EMP050,2026-01-06,08:04:00,18:42:00,present,93
EMP001,2026-01-07,07:44:00,17:00:00,present,0
EMP002,2026-01-07,07:40:00,17:08:00,present,0
EMP003,2026-01-07,09:16:00,18:24:00,late,79
EMP004,2026-01-07,07:57:00,20:58:00,present,228
EMP005,2026-01-07,09:01:00,17:10:00,late,0
EMP006,2026-01-07,08:05:00,17:01:00,present,0
EMP007,2026-01-07,07:47:00,18:51:00,present,111
EMP008,2026-01-07,08:09:00,17:00:00,present,0
EMP009,2026-01-07,07:38:00,17:05:00,present,0
EMP010,2026-01-07,08:00:00,17:06:00,present,0
EMP011,2026-01-07,08:08:00,17:01:00,present,0
EMP012,2026-01-07,08:02:00,17:01:00,present,0
EMP013,2026-01-07,08:02:00,17:07:00,present,0
EMP014,2026-01-07,07:57:00,17:10:00,present,0
EMP015,2026-01-07,08:00:00,17:10:00,present,0
EMP016,2026-01-07,08:03:00,17:41:00,present,38
EMP017,2026-01-07,07:37:00,17:10:00,present,0
EMP018,2026-01-07,08:33:00,17:06:00,late,0
EMP019,2026-01-07,07:36:00,17:07:00,present,0
EMP020,2026-01-07,07:51:00,17:03:00,present,0
EMP021,2026-01-07,07:42:00,17:01:00,present,0
EMP022,2026-01-07,07:40:00,17:05:00,present,0
EMP023,2026-01-07,08:54:00,17:10:00,late,0
EMP024,2026-01-07,07:43:00,17:07:00,present,0
EMP025,2026-01-07,08:10:00,17:01:00,present,0
EMP026,2026-01-07,08:05:00,17:06:00,present,0
EMP027,2026-01-07,07:39:00,17:10:00,present,0
EMP028,2026-01-07,08:10:00,17:02:00,present,0
EMP029,2026-01-07,07:38:00,17:04:00,present,0
EMP030,2026-01-07,07:57:00,17:08:00,present,0
EMP031,2026-01-07,08:10:00,17:10:00,present,0
EMP032,2026-01-07,07:45:00,17:09:00,present,0
EMP033,2026-01-07,07:56:00,17:09:00,present,0
EMP034,2026-01-07,07:51:00,17:09:00,present,0
EMP035,2026-01-07,08:09:00,19:24:00,present,137
EMP036,2026-01-07,08:04:00,17:39:00,present,37
EMP037,2026-01-07,07:44:00,17:05:00,present,0
EMP038,2026-01-07,09:03:00,17:01:00,late,0
EMP039,2026-01-07,07:50:00,17:00:00,present,0
EMP040,2026-01-07,07:50:00,17:02:00,present,0
EMP041,2026-01-07,07:47:00,17:07:00,present,0
EMP042,2026-01-07,08:06:00,18:28:00,present,80
EMP043,2026-01-07,07:38:00,18:42:00,present,93
EMP044,2026-01-07,08:09:00,17:49:00,present,43
EMP045,2026-01-07,07:37:00,17:09:00,present,0
EMP046,2026-01-07,08:03:00,17:04:00,present,0
EMP047,2026-01-07,08:28:00,17:05:00,late,0
EMP048,2026-01-07,08:07:00,17:00:00,present,0
EMP049,2026-01-07,08:05:00,17:02:00,present,0
EMP050,2026-01-07,07:55:00,17:09:00,present,0
EMP001,2026-01-08,08:07:00,17:09:00,present,0
EMP002,2026-01-08,07:42:00,17:10:00,present,0
EMP003,2026-01-08,07:49:00,17:09:00,present,0
EMP004,2026-01-08,07:59:00,20:57:00,present,234
EMP005,2026-01-08,08:56:00,17:06:00,late,0
EMP006,2026-01-08,08:05:00,17:00:00,present,0
EMP007,2026-01-08,08:05:00,17:02:00,present,0
EMP008,2026-01-08,07:51:00,17:03:00,present,0
EMP009,2026-01-08,07:54:00,17:03:00,present,0
EMP010,2026-01-08,08:10:00,17:04:00,present,0
EMP011,2026-01-08,08:00:00,17:02:00,present,0
EMP012,2026-01-08,09:12:00,17:07:00,late,0
EMP013,2026-01-08,08:10:00,17:02:00,present,0
EMP014,2026-01-08,07:38:00,17:10:00,present,0
EMP015,2026-01-08,08:05:00,,present,0
EMP016,2026-01-08,08:01:00,17:07:00,present,0
EMP017,2026-01-08,07:55:00,17:00:00,present,0
EMP018,2026-01-08,07:37:00,17:02:00,present,0
EMP019,2026-01-08,07:37:00,17:06:00,present,0
EMP020,2026-01-08,07:53:00,17:00:00,present,0
EMP021,2026-01-08,09:14:00,17:08:00,late,0
EMP022,2026-01-08,08:07:00,17:03:00,present,0
EMP023,2026-01-08,07:46:00,18:17:00,present,73
EMP024,2026-01-08,08:00:00,17:08:00,present,0
EMP025,2026-01-08,07:43:00,,present,0
EMP026,2026-01-08,07:52:00,17:04:00,present,0
EMP027,2026-01-08,07:58:00,17:00:00,present,0
EMP028,2026-01-08,08:07:00,17:04:00,present,0
EMP029,2026-01-08,07:58:00,17:02:00,present,0
EMP030,2026-01-08,07:58:00,17:08:00,present,0
EMP031,2026-01-08,07:50:00,17:09:00,present,0
EMP032,2026-01-08,07:58:00,18:43:00,present,102
EMP033,2026-01-08,08:09:00,17:05:00,present,0
EMP034,2026-01-08,08:06:00,18:42:00,present,95
EMP035,2026-01-08,08:04:00,17:10:00,present,0
EMP036,2026-01-08,07:35:00,17:09:00,present,0
EMP037,2026-01-08,08:09:00,17:01:00,present,0
EMP038,2026-01-08,08:33:00,17:10:00,late,0
EMP039,2026-01-08,08:03:00,17:06:00,present,0
EMP040,2026-01-08,08:09:00,17:05:00,present,0
EMP041,2026-01-08,07:43:00,17:03:00,present,0
EMP042,2026-01-08,08:04:00,17:08:00,present,0
EMP043,2026-01-08,08:04:00,17:04:00,present,0
EMP044,2026-01-08,07:37:00,17:06:00,present,0
EMP045,2026-01-08,08:24:00,17:00:00,late,0
EMP046,2026-01-08,08:21:00,17:03:00,late,0
EMP047,2026-01-08,08:53:00,17:09:00,late,0
EMP048,2026-01-08,07:55:00,17:02:00,present,0
EMP049,2026-01-08,07:52:00,18:47:00,present,105
EMP050,2026-01-08,07:57:00,17:10:00,present,0
EMP001,2026-01-09,08:01:00,17:06:00,present,0
EMP002,2026-01-09,07:49:00,18:43:00,present,96
EMP003,2026-01-09,07:43:00,17:04:00,present,0
EMP004,2026-01-09,07:58:00,18:48:00,present,108
EMP005,2026-01-09,07:47:00,17:09:00,present,0
EMP006,2026-01-09,07:56:00,18:06:00,present,63
EMP007,2026-01-09,08:05:00,17:03:00,present,0
EMP008,2026-01-09,07:53:00,17:08:00,present,0
EMP009,2026-01-09,08:06:00,17:07:00,present,0
EMP010,2026-01-09,07:55:00,17:09:00,present,0
EMP011,2026-01-09,,,absent,0
EMP012,2026-01-09,09:48:00,17:02:00,late,0
EMP013,2026-01-09,07:50:00,17:10:00,present,0
EMP014,2026-01-09,08:06:00,17:07:00,present,0
EMP015,2026-01-09,07:43:00,17:07:00,present,0
EMP016,2026-01-09,07:38:00,17:01:00,present,0
EMP017,2026-01-09,08:01:00,17:10:00,present,0
EMP018,2026-01-09,,,absent,0
EMP019,2026-01-09,07:58:00,19:01:00,present,111
EMP020,2026-01-09,07:36:00,18:46:00,present,100
EMP021,2026-01-09,07:36:00,17:10:00,present,0
EMP022,2026-01-09,07:41:00,17:03:00,present,0
EMP023,2026-01-09,09:06:00,18:28:00,late,81
EMP024,2026-01-09,07:40:00,17:10:00,present,0
EMP025,2026-01-09,08:10:00,,present,0
EMP026,2026-01-09,08:02:00,17:05:00,present,0
EMP027,2026-01-09,08:08:00,17:03:00,present,0
EMP028,2026-01-09,08:05:00,17:01:00,present,0
EMP029,2026-01-09,07:37:00,19:20:00,present,140
EMP030,2026-01-09,08:00:00,17:04:00,present,0
EMP031,2026-01-09,08:09:00,17:02:00,present,0
EMP032,2026-01-09,07:57:00,18:28:00,present,85
EMP033,2026-01-09,08:00:00,17:05:00,present,0
EMP034,2026-01-09,08:06:00,17:08:00,present,0
EMP035,2026-01-09,07:59:00,20:42:00,present,218
EMP036,2026-01-09,07:44:00,17:10:00,present,0
EMP037,2026-01-09,07:40:00,18:16:00,present,69
EMP038,2026-01-09,09:13:00,17:08:00,late,0
EMP039,2026-01-09,07:40:00,17:05:00,present,0
EMP040,2026-01-09,07:40:00,17:08:00,present,0
EMP041,2026-01-09,07:45:00,17:02:00,present,0
EMP042,2026-01-09,07:39:00,17:04:00,present,0
EMP043,2026-01-09,07:51:00,17:10:00,present,0
EMP044,2026-01-09,07:43:00,17:06:00,present,0
EMP045,2026-01-09,08:58:00,17:10:00,late,0
EMP046,2026-01-09,07:47:00,17:02:00,present,0
EMP047,2026-01-09,08:06:00,17:03:00,present,0
EMP048,2026-01-09,07:58:00,17:09:00,present,0
EMP049,2026-01-09,08:10:00,18:32:00,present,89
EMP050,2026-01-09,08:01:00,17:02:00,present,0
EMP001,2026-01-12,08:02:00,17:01:00,present,0
EMP002,2026-01-12,08:09:00,17:06:00,present,0
EMP003,2026-01-12,08:09:00,17:01:00,present,0
EMP004,2026-01-12,07:45:00,19:02:00,present,112
EMP005,2026-01-12,07:41:00,18:06:00,present,63
EMP006,2026-01-12,07:49:00,17:10:00,present,0
EMP007,2026-01-12,07:36:00,17:01:00,present,0
EMP008,2026-01-12,07:54:00,17:03:00,present,0
EMP009,2026-01-12,08:03:00,17:04:00,present,0
EMP010,2026-01-12,,,absent,0
EMP011,2026-01-12,08:37:00,17:03:00,late,0
EMP012,2026-01-12,09:15:00,17:06:00,late,0
EMP013,2026-01-12,08:00:00,18:51:00,present,108
EMP014,2026-01-12,,,absent,0
EMP015,2026-01-12,07:52:00,17:01:00,present,0
EMP016,2026-01-12,07:58:00,17:07:00,present,0
EMP017,2026-01-12,07:55:00,17:09:00,present,0
EMP018,2026-01-12,07:46:00,17:04:00,present,0
EMP019,2026-01-12,07:55:00,17:04:00,present,0
EMP020,2026-01-12,07:59:00,17:02:00,present,0
EMP021,2026-01-12,07:46:00,17:07:00,present,0
EMP022,2026-01-12,07:38:00,17:00:00,present,0
EMP023,2026-01-12,08:06:00,17:07:00,present,0
EMP024,2026-01-12,08:19:00,17:03:00,late,0
EMP025,2026-01-12,07:45:00,17:09:00,present,0
EMP026,2026-01-12,07:42:00,17:04:00,present,0
EMP027,2026-01-12,07:37:00,17:07:00,present,0
EMP028,2026-01-12,07:50:00,17:00:00,present,0
EMP029,2026-01-12,08:03:00,17:03:00,present,0
EMP030,2026-01-12,08:02:00,17:02:00,present,0
EMP031,2026-01-12,08:09:00,17:08:00,present,0
EMP032,2026-01-12,07:52:00,17:08:00,present,0
EMP033,2026-01-12,08:01:00,17:04:00,present,0
EMP034,2026-01-12,07:50:00,17:05:00,present,0
EMP035,2026-01-12,08:06:00,20:45:00,present,221
EMP036,2026-01-12,07:40:00,17:04:00,present,0
EMP037,2026-01-12,08:06:00,17:00:00,present,0
EMP038,2026-01-12,07:57:00,17:08:00,present,0
EMP039,2026-01-12,08:06:00,17:04:00,present,0
EMP040,2026-01-12,08:06:00,17:10:00,present,0
EMP041,2026-01-12,08:04:00,17:57:00,present,50
EMP042,2026-01-12,07:43:00,17:04:00,present,0
EMP043,2026-01-12,07:58:00,17:05:00,present,0
EMP044,2026-01-12,07:54:00,17:03:00,present,0
EMP045,2026-01-12,08:25:00,17:03:00,late,0
EMP046,2026-01-12,,,absent,0
EMP047,2026-01-12,09:10:00,17:07:00,late,0
EMP048,2026-01-12,07:41:00,17:05:00,present,0
EMP049,2026-01-12,07:43:00,17:10:00,present,0
EMP050,2026-01-12,,,absent,0
EMP001,2026-01-13,08:03:00,17:03:00,present,0
EMP002,2026-01-13,08:03:00,17:44:00,present,42
EMP003,2026-01-13,07:55:00,17:03:00,present,0
EMP004,2026-01-13,07:53:00,17:10:00,present,0
EMP005,2026-01-13,09:06:00,17:00:00,late,0
EMP006,2026-01-13,07:59:00,20:17:00,present,187
EMP007,2026-01-13,07:58:00,17:09:00,present,0
EMP008,2026-01-13,08:05:00,17:01:00,present,0
EMP009,2026-01-13,07:37:00,17:06:00,present,0
EMP010,2026-01-13,08:01:00,17:06:00,present,0
EMP011,2026-01-13,08:55:00,17:58:00,late,56
EMP012,2026-01-13,08:06:00,17:04:00,present,0
EMP013,2026-01-13,07:38:00,17:06:00,present,0
EMP014,2026-01-13,07:46:00,18:35:00,present,95
EMP015,2026-01-13,07:51:00,17:02:00,present,0
EMP016,2026-01-13,07:42:00,17:00:00,present,0
EMP017,2026-01-13,07:51:00,17:09:00,present,0
EMP018,2026-01-13,09:28:00,17:02:00,late,0
EMP019,2026-01-13,07:42:00,,present,0
EMP020,2026-01-13,,,absent,0
EMP021,2026-01-13,07:44:00,17:00:00,present,0
EMP022,2026-01-13,08:01:00,17:03:00,present,0
EMP023,2026-01-13,09:03:00,17:10:00,late,0
EMP024,2026-01-13,08:00:00,18:33:00,present,89
EMP025,2026-01-13,08:04:00,17:59:00,present,55
EMP026,2026-01-13,08:04:00,17:07:00,present,0
EMP027,2026-01-13,08:09:00,17:03:00,present,0
EMP028,2026-01-13,,,absent,0
EMP029,2026-01-13,07:35:00,19:00:00,present,114
EMP030,2026-01-13,08:08:00,17:06:00,present,0
EMP031,2026-01-13,07:40:00,18:07:00,present,59
EMP032,2026-01-13,07:40:00,17:08:00,present,0
EMP033,2026-01-13,07:38:00,17:02:00,present,0
EMP034,2026-01-13,08:00:00,17:05:00,present,0
EMP035,2026-01-13,07:47:00,20:30:00,present,209
EMP036,2026-01-13,08:01:00,17:05:00,present,0
EMP037,2026-01-13,07:51:00,17:01:00,present,0
EMP038,2026-01-13,07:37:00,17:05:00,present,0
EMP039,2026-01-13,08:00:00,17:10:00,present,0
EMP040,2026-01-13,08:00:00,17:08:00,present,0
EMP041,2026-01-13,07:43:00,17:00:00,present,0
EMP042,2026-01-13,08:00:00,17:10:00,present,0
EMP043,2026-01-13,07:39:00,17:41:00,present,38
EMP044,2026-01-13,07:56:00,17:07:00,present,0
EMP045,2026-01-13,08:06:00,19:03:00,present,117
EMP046,2026-01-13,08:35:00,18:58:00,late,109
EMP047,2026-01-13,07:38:00,18:21:00,present,79
EMP048,2026-01-13,07:50:00,17:08:00,present,0
EMP049,2026-01-13,07:57:00,17:07:00,present,0
EMP050,2026-01-13,07:52:00,17:05:00,present,0
EMP001,2026-01-14,07:52:00,18:38:00,present,90
EMP002,2026-01-14,07:45:00,20:51:00,present,228
EMP003,2026-01-14,08:44:00,17:06:00,late,0
EMP004,2026-01-14,07:46:00,19:26:00,present,141
EMP005,2026-01-14,07:44:00,17:03:00,present,0
EMP006,2026-01-14,08:09:00,20:05:00,present,185
EMP007,2026-01-14,08:08:00,17:09:00,present,0
EMP008,2026-01-14,07:55:00,17:57:00,present,48
EMP009,2026-01-14,08:08:00,17:01:00,present,0
EMP010,2026-01-14,07:41:00,17:05:00,present,0
EMP011,2026-01-14,08:06:00,17:02:00,present,0
EMP012,2026-01-14,09:01:00,17:09:00,late,0
EMP013,2026-01-14,07:53:00,17:00:00,present,0
EMP014,2026-01-14,07:37:00,19:30:00,present,141
EMP015,2026-01-14,07:44:00,17:01:00,present,0
EMP016,2026-01-14,07:40:00,17:10:00,present,0
EMP017,2026-01-14,07:51:00,17:01:00,present,0
EMP018,2026-01-14,09:12:00,17:02:00,late,0
EMP019,2026-01-14,08:09:00,17:07:00,present,0
EMP020,2026-01-14,07:49:00,17:01:00,present,0
EMP021,2026-01-14,,,absent,0
EMP022,2026-01-14,07:41:00,17:57:00,present,51
EMP023,2026-01-14,07:56:00,17:09:00,present,0
EMP024,2026-01-14,08:02:00,17:01:00,present,0
EMP025,2026-01-14,08:10:00,17:08:00,present,0
EMP026,2026-01-14,07:38:00,17:08:00,present,0
EMP027,2026-01-14,08:02:00,19:04:00,present,114
EMP028,2026-01-14,,,absent,0
EMP029,2026-01-14,07:53:00,17:01:00,present,0
EMP030,2026-01-14,07:51:00,18:45:00,present,99
EMP031,2026-01-14,07:51:00,17:04:00,present,0
EMP032,2026-01-14,07:41:00,18:22:00,present,74
EMP033,2026-01-14,07:38:00,17:08:00,present,0
EMP034,2026-01-14,08:05:00,17:03:00,present,0
EMP035,2026-01-14,07:37:00,17:09:00,present,0
EMP036,2026-01-14,08:03:00,17:02:00,present,0
EMP037,2026-01-14,08:02:00,19:03:00,present,117
EMP038,2026-01-14,07:55:00,17:01:00,present,0
EMP039,2026-01-14,07:52:00,17:00:00,present,0
EMP040,2026-01-14,08:01:00,17:02:00,present,0
EMP041,2026-01-14,07:41:00,17:09:00,present,0
EMP042,2026-01-14,07:57:00,17:04:00,present,0
EMP043,2026-01-14,07:37:00,17:06:00,present,0
EMP044,2026-01-14,07:37:00,17:05:00,present,0
EMP045,2026-01-14,09:03:00,18:12:00,late,68
EMP046,2026-01-14,08:45:00,17:07:00,late,0
EMP047,2026-01-14,07:40:00,17:03:00,present,0
EMP048,2026-01-14,08:08:00,17:00:00,present,0
EMP049,2026-01-14,08:07:00,17:08:00,present,0
EMP050,2026-01-14,07:47:00,17:03:00,present,0
EMP001,2026-01-15,07:47:00,17:07:00,present,0
EMP002,2026-01-15,07:36:00,20:14:00,present,185
